State_UT,State/UT/City,Accident_Cases,Persons_Injured,Persons_Killed,Railway Accidents - Cases,Railway Accidents - Injured,Railway Accidents - Died,Railway Crossing Accidents - Cases,Railway Crossing Accidents - Injured,Railway Crossing Accidents - Died,Total Traffic Accidents - Cases,Total Traffic Accidents - Injured,Total Traffic Accidents - Died
Jammu & Kashmir,Andhra Pradesh,21070,21340,8293,1029,0,1037,0,0,0,22099,21340,9330
Himachal Pradesh,Arunachal Pradesh,215,177,152,0,0,0,0,0,0,215,177,152
Punjab,Assam,7028,5679,3060,689,0,693,22,0,22,7739,5679,3775
Chandigarh,Bihar,10801,7068,8898,1444,6,1446,52,0,53,12297,7074,10397
Uttarakhand,Chhattisgarh,13091,11459,5890,429,21,429,4,0,4,13524,11480,6323
Haryana,Goa,3012,1071,274,54,0,54,0,0,0,3066,1071,328
Delhi,Gujarat,15777,15139,7634,766,0,777,6,0,6,16549,15139,8417
Rajasthan,Haryana,10654,8353,5228,1127,26,1101,95,0,95,11876,8379,6424
Uttar Pradesh,Himachal Pradesh,2484,3891,979,0,0,0,0,0,0,2484,3891,979
Bihar,Jharkhand,5175,3747,3898,362,19,346,7,0,7,5544,3766,4251
Sikkim,Karnataka,39765,48154,11705,0,0,0,0,0,0,39765,48154,11705
Arunachal Pradesh,Kerala,43592,49317,4317,194,0,194,184,1,185,43970,49318,4696
Nagaland,Madhya Pradesh,51965,51264,13918,1275,0,1275,239,0,239,53479,51264,15432
Manipur,Maharashtra,30546,23878,15748,4827,1686,3145,0,0,0,35373,25564,18893
Mizoram,Manipur,508,817,127,2,0,2,0,0,0,510,817,129
Tripura,Meghalaya,246,310,162,0,0,0,0,0,0,246,310,162
Meghalaya,Mizoram,71,28,83,0,0,0,0,0,0,71,28,83
Assam,Nagaland,24,42,22,0,0,0,5,0,5,29,42,27
West Bengal,Odisha,11663,10269,5470,27,0,27,54,54,0,11744,10323,5497
Jharkhand,Punjab,6122,3372,4688,978,74,914,0,0,0,7100,3446,5602
Odisha,Rajasthan,23620,22249,11103,942,8,943,0,0,0,24562,22257,12046
Chhattisgarh,Sikkim,199,371,98,0,0,0,0,0,0,199,371,98
Madhya Pradesh,Tamil Nadu,64105,67703,17884,2012,189,1833,0,0,0,66117,67892,19717
Gujarat,Telangana,21619,20209,7559,616,0,625,0,0,0,22235,20209,8184
Daman & Diu,Tripura,575,541,241,27,0,27,2,0,2,604,541,270
Dadra & Nagar Haveli,Uttar Pradesh,36875,21696,24109,3190,35,3166,1340,4,1340,41405,21735,28615
Maharashtra,Uttarakhand,1674,1613,1042,74,0,74,1,0,1,1749,1613,1117
Andhra Pradesh,West Bengal,10635,8124,5788,2221,286,1935,546,53,493,13402,8463,8216
Karnataka,Andaman and Nicobar Islands,141,136,19,0,0,0,0,0,0,141,136,19
Goa,Chandigarh,238,203,83,0,0,0,0,0,0,238,203,83
Lakshadweep,Dadra and Nicoabr Haveli and Daman and Diu,175,257,80,0,0,0,0,0,0,175,257,80
Kerala,Delhi,5560,4713,1461,796,105,691,0,0,0,6356,4818,2152
Tamil Nadu,Jammu and Kashmir,6090,8350,838,49,2,49,3,0,3,6142,8352,890
Puducherry,Ladakh,268,333,66,0,0,0,0,0,0,268,333,66
Andaman & Nicobar Islands,Lakshadweep,4,3,2,0,0,0,0,0,0,4,3,2
Telangana,Puducherry,1181,1282,181,9,0,9,0,0,0,1190,1282,190
